service,num_architectures,degree,pagerank,degree_centrality,betweenness,closeness,eigenvector,centralidad_score,nivel
S3,231,67,1.0,1.0,1.0,1.0,1.0,1.0,Fundamental
Lambda,205,62,0.8715521613048431,0.9253731343283582,0.5065091705232245,0.9889705882352942,0.9631531293936337,0.8374807943107618,Fundamental
EC2,131,49,0.5231661569447159,0.7313432835820896,0.36640515115022504,0.932409012131716,0.6082510591450551,0.597545258293912,Fundamental
DynamoDB,114,45,0.45087121576299305,0.6716417910447762,0.45115827838011463,0.9572953736654806,0.638527873267994,0.584912186522862,Fundamental
ApiGateway,91,38,0.35558445262684146,0.5671641791044777,0.2909695676846982,0.9275862068965517,0.53394800303591,0.4795111152461532,Integrador
RDS,69,35,0.2644781714015733,0.5223880597014926,0.3362668769278889,0.9488536155202822,0.37171993174353335,0.42783719304498113,Integrador
EKS,56,31,0.21182447553773948,0.4626865671641791,0.3216434836189153,0.9488536155202822,0.2360796486383619,0.3738449900239321,Integrador
SQS,67,29,0.23312074491294907,0.4328358208955224,0.13896718539009142,0.8819672131147542,0.37522503825093984,0.3504190928249,Integrador
StepFunctions,44,27,0.17311243964807352,0.40298507462686567,0.26878351272336354,0.9764065335753178,0.26259238670311064,0.3434662144588096,Integrador
OpenSearch,33,26,0.13154859072058164,0.3880597014925373,0.24331056543912313,0.972875226039783,0.18661063577909964,0.3104207336479767,Integrador
SageMaker,39,26,0.1527586589109857,0.3880597014925373,0.12193715012389057,0.9340277777777779,0.22552254755446002,0.29446111298215494,Especializado
Athena,42,24,0.1763689822491638,0.3582089552238806,0.059886990836031835,0.8863261943986821,0.2632714187414312,0.28256366389900855,Especializado
SNS,46,21,0.14852854788073433,0.31343283582089554,0.08385227525990797,0.8526148969889066,0.26498231784903536,0.26469606574767174,Especializado
Aurora,37,24,0.1288187927229484,0.3582089552238806,0.08214796072210497,0.8936877076411961,0.17336055599592215,0.26000032293078357,Especializado
CloudFront,41,23,0.16880725881738018,0.3432835820895523,0.04182125673531996,0.7729885057471265,0.2503072249611497,0.2596722588335512,Especializado
ECS,46,21,0.15481959142637788,0.31343283582089554,0.03185757174508699,0.7763347763347764,0.25482220484601825,0.24703240909253504,Especializado
Firehose,30,19,0.11462424605895043,0.28358208955223885,0.08409200301907148,0.9134125636672328,0.19305403248391834,0.24240055804887017,Especializado
RedShift,29,20,0.115866316399809,0.2985074626865672,0.07118790723284872,0.8635634028892457,0.16347079509129803,0.23450130159077354,Especializado
CloudFormation,18,14,0.08444142172621708,0.208955223880597,0.24844036491059845,0.9438596491228072,0.06383214922642728,0.2312200927663789,Especializado
Kinesis,37,20,0.1388563023253273,0.2985074626865672,0.002622022365850781,0.7707736389684815,0.2305690311345476,0.22847087940944044,Especializado
Glue,34,20,0.1388509817260594,0.2985074626865672,0.002097617892680625,0.7923416789396172,0.2129639395011859,0.22788044258713536,Especializado
CloudWatch,38,20,0.12638139785556474,0.2985074626865672,0.02045177445363609,0.7707736389684815,0.21229029704177077,0.22555254837215222,Especializado
WAF,15,15,0.07930782348893774,0.22388059701492538,0.21485225840404998,0.9103214890016922,0.07682031499234915,0.22528814413024426,Especializado
EMR,26,17,0.09105695324627479,0.2537313432835821,0.09504831076209076,0.8922056384742953,0.12651572414417459,0.21795750641625186,Especializado
