service,num_conexiones,ratio_compatibilidad,vecinos
S3,67,0.8701298701298701,"ALB, Amplify, ApiGateway, AppSync, Athena..."
Lambda,62,0.8051948051948052,"ALB, Amplify, ApiGateway, AppSync, Athena..."
EC2,49,0.6363636363636364,"ALB, ApiGateway, Athena, Aurora, Batch..."
DynamoDB,45,0.5844155844155844,"ALB, ApiGateway, AppSync, Athena, Aurora..."
ApiGateway,38,0.4935064935064935,"ALB, Amplify, Athena, Aurora, CloudFormation..."
RDS,35,0.45454545454545453,"ALB, ApiGateway, Athena, CloudFormation, CloudFront..."
EKS,31,0.4025974025974026,"ALB, ApiGateway, Athena, Aurora, CloudFormation..."
SQS,29,0.37662337662337664,"ALB, ApiGateway, Athena, Aurora, BeanStalk..."
StepFunctions,27,0.35064935064935066,"ApiGateway, Athena, Aurora, CloudWatch, Comprehend..."
SageMaker,26,0.33766233766233766,"ALB, ApiGateway, Athena, Aurora, CloudFormation..."
OpenSearch,26,0.33766233766233766,"ApiGateway, Athena, Aurora, CloudFront, CloudTrail..."
Athena,24,0.3116883116883117,"ApiGateway, Aurora, CloudFront, CloudTrail, DMS..."
Aurora,24,0.3116883116883117,"ALB, ApiGateway, Athena, CloudFront, DMS..."
CloudFront,23,0.2987012987012987,"ALB, ApiGateway, Athena, Aurora, CloudWatch..."
SNS,21,0.2727272727272727,"ALB, ApiGateway, Athena, CloudFront, CloudWatch..."
ECS,21,0.2727272727272727,"ALB, ApiGateway, Aurora, CloudFront, CloudWatch..."
Glue,20,0.2597402597402597,"ApiGateway, Athena, Aurora, CloudFront, DMS..."
RedShift,20,0.2597402597402597,"ApiGateway, Athena, Aurora, CloudFormation, CloudWatch..."
CloudWatch,20,0.2597402597402597,"ALB, ApiGateway, CloudFront, DynamoDB, EC2..."
Kinesis,20,0.2597402597402597,"ApiGateway, Athena, Aurora, DynamoDB, EC2..."
Firehose,19,0.24675324675324675,"ApiGateway, Athena, Aurora, CloudFront, CloudWatch..."
ALB,19,0.24675324675324675,"ApiGateway, Aurora, CloudFront, CloudWatch, DynamoDB..."
ElastiCache,18,0.23376623376623376,"ALB, ApiGateway, Aurora, CloudFront, CloudWatch..."
EMR,17,0.22077922077922077,"Athena, Aurora, DMS, DynamoDB, EC2..."
