service_a,service_b,cooc_frequency,jaccard_similarity
Lambda,S3,144,0.4932
DynamoDB,Lambda,92,0.4053
EC2,S3,86,0.3116
DynamoDB,S3,76,0.2825
ApiGateway,Lambda,75,0.3394
EC2,Lambda,63,0.2308
ApiGateway,S3,56,0.2105
RDS,S3,47,0.1858
S3,SQS,47,0.1873
ApiGateway,DynamoDB,44,0.2733
Lambda,SQS,43,0.1878
Athena,S3,41,0.1767
Lambda,RDS,38,0.161
Lambda,SNS,37,0.1729
S3,StepFunctions,35,0.1458
CloudFront,S3,34,0.1429
Glue,S3,34,0.1472
S3,SageMaker,34,0.1441
EKS,S3,34,0.1344
Lambda,StepFunctions,33,0.1528
DynamoDB,EC2,32,0.1502
EC2,RDS,32,0.1905
EC2,SQS,31,0.1856
ECS,S3,30,0.1215
Firehose,S3,30,0.1299
RedShift,S3,29,0.1255
CloudWatch,S3,28,0.1162
S3,SNS,28,0.1124
Kinesis,Lambda,28,0.1308
Kinesis,S3,28,0.1167
Athena,Lambda,27,0.1227
EMR,S3,26,0.1126
CloudWatch,Lambda,25,0.1147
ECS,Lambda,25,0.1106
Lambda,SageMaker,25,0.1142
Lambda,OpenSearch,25,0.1174
ApiGateway,EC2,25,0.1269
CloudFront,Lambda,24,0.1081
Firehose,Lambda,24,0.1137
ApiGateway,StepFunctions,22,0.1947
EC2,EKS,22,0.1333
Glue,Lambda,21,0.0963
EC2,ELB,21,0.1479
OpenSearch,S3,21,0.0864
DynamoDB,SNS,21,0.1511
DynamoDB,ECS,20,0.1429
DynamoDB,SQS,20,0.1242
EC2,ECS,19,0.1203
Athena,Glue,19,0.3333
Aurora,S3,19,0.0763
ApiGateway,ECS,18,0.1513
DynamoDB,Kinesis,18,0.1353
ApiGateway,SQS,17,0.1206
Aurora,Lambda,17,0.0756
Aurora,EC2,17,0.1126
CloudFront,EC2,17,0.1097
Fargate,Lambda,17,0.0806
DynamoDB,StepFunctions,17,0.1206
RDS,SQS,16,0.1333
EKS,RDS,16,0.1468
ELB,Lambda,16,0.0724
EC2,ElastiCache,16,0.1096
ElastiCache,S3,16,0.065
Cognito,Lambda,16,0.0773
CloudFront,DynamoDB,16,0.1151
ELB,S3,16,0.0648
ApiGateway,RDS,15,0.1034
Cognito,S3,15,0.0641
DynamoDB,RDS,15,0.0893
Fargate,S3,14,0.0583
ApiGateway,SNS,14,0.1138
ALB,EC2,14,0.094
CloudWatch,EC2,14,0.0903
EKS,Lambda,14,0.0567
ElastiCache,Lambda,14,0.0631
Athena,Firehose,14,0.2414
SNS,SQS,14,0.1414
ApiGateway,CloudFront,13,0.1092
ALB,Lambda,13,0.058
DynamoDB,EKS,13,0.0828
EC2,SNS,13,0.0793
EventBridge,Lambda,13,0.0622
ElastiCache,RDS,13,0.1494
ALB,ECS,12,0.1818
Lambda,RedShift,12,0.0541
ApiGateway,Kinesis,12,0.1034
Athena,Kinesis,12,0.1791
IoTCore,Lambda,12,0.0583
Athena,EC2,12,0.0745
ELB,RDS,12,0.1348
ALB,S3,11,0.0437
ApiGateway,SageMaker,11,0.0924
Aurora,EKS,11,0.1341
EC2,OpenSearch,11,0.0719
ECR,S3,11,0.0462
Cognito,DynamoDB,11,0.0909
QuickSight,S3,11,0.0468
DynamoDB,Firehose,11,0.0827
DynamoDB,OpenSearch,11,0.0809
ApiGateway,CloudWatch,10,0.084
ApiGateway,Fargate,10,0.0962
CloudFront,RDS,10,0.1
CloudFront,WAF,10,0.2174
S3,WAF,10,0.0424
Lambda,Route53,10,0.0467
CloudWatch,DynamoDB,10,0.0704
ApiGateway,Athena,10,0.0813
ALB,EKS,10,0.1282
DynamoDB,ELB,10,0.0735
EC2,ECR,10,0.0719
Athena,RedShift,10,0.1639
Comprehend,S3,10,0.0427
Athena,DynamoDB,10,0.0685
CloudFront,LambdaAtEdge,10,0.2439
CloudFormation,S3,10,0.0418
DynamoDB,SageMaker,10,0.0699
ApiGateway,Cognito,10,0.101
ECS,SQS,9,0.0865
ALB,DynamoDB,9,0.0657
EC2,EMR,9,0.0608
MSK,S3,9,0.0385
ApiGateway,Aurora,9,0.0756
Glue,SageMaker,9,0.1406
SageMaker,StepFunctions,9,0.1216
EC2,Route53,9,0.0638
EC2,SageMaker,9,0.0559
Aurora,ElastiCache,9,0.1525
CloudFront,EKS,9,0.1023
CloudFront,ElastiCache,9,0.1429
EC2,WAF,9,0.0657
EC2,Kinesis,9,0.0566
EC2,Fargate,9,0.0621
Athena,RDS,9,0.0882
KMS,S3,9,0.0386
DMS,S3,9,0.0388
S3,Transcribe,9,0.039
AppSync,Lambda,9,0.0439
Glue,Kinesis,9,0.1452
Kinesis,OpenSearch,9,0.1475
ApiGateway,ElastiCache,9,0.0796
Lambda,Rekognition,9,0.0435
RedShift,SageMaker,9,0.1525
ECS,RDS,8,0.0748
Fargate,RDS,8,0.0952
ALB,RDS,8,0.086
ALB,SQS,8,0.0879
EKS,SQS,8,0.0696
EC2,RedShift,8,0.0526
EKS,ElastiCache,8,0.1013
EKS,Route53,8,0.1194
EMR,RDS,8,0.092
Glue,RDS,8,0.0842
CloudWatch,StepFunctions,8,0.1081
RDS,RedShift,8,0.0889
LambdaAtEdge,S3,8,0.0343
EMR,RedShift,8,0.1702
Comprehend,Lambda,8,0.0381
ALB,ElastiCache,8,0.1455
ECS,SNS,8,0.0952
RDS,SNS,8,0.0748
EventBridge,S3,8,0.0333
ELB,ElastiCache,8,0.1455
Rekognition,S3,8,0.0342
EC2,Glue,8,0.051
ApiGateway,OpenSearch,8,0.069
EKS,ELB,8,0.1
Glue,RedShift,8,0.1455
DirectConnect,EC2,8,0.0606
DirectConnect,S3,8,0.0345
DynamoDB,IoTCore,8,0.0672
CloudWatch,RDS,7,0.07
CloudFront,Firehose,7,0.1094
CloudFront,Route53,7,0.1321
Route53,S3,7,0.0288
Athena,SageMaker,7,0.0946
Aurora,Glue,7,0.1094
Glue,StepFunctions,7,0.0986
ECR,Lambda,7,0.0324
Kinesis,SQS,7,0.0722
EC2,VPC,7,0.0522
Lambda,QuickSight,7,0.0329
EC2,KMS,7,0.0519
KMS,Lambda,7,0.0335
IoTCore,S3,7,0.0295
DynamoDB,Glue,7,0.0496
Firehose,Glue,7,0.1228
Athena,EMR,7,0.1148
AppSync,DynamoDB,7,0.0603
AppSync,S3,7,0.03
ApiGateway,ELB,7,0.0603
CloudFront,ELB,7,0.1061
Aurora,SQS,7,0.0722
ElastiCache,SQS,7,0.0769
SNS,StepFunctions,7,0.0843
Rekognition,StepFunctions,7,0.1458
RDS,Route53,7,0.0864
CloudFormation,Lambda,7,0.0324
SQS,StepFunctions,7,0.0673
CloudFront,SQS,6,0.0588
CloudWatch,Fargate,6,0.1091
CloudWatch,SQS,6,0.0606
Fargate,SQS,6,0.0714
ApiGateway,Firehose,6,0.0522
ApiGateway,Route53,6,0.0577
ALB,CloudWatch,6,0.0938
EMR,Lambda,6,0.0267
ApiGateway,Glue,6,0.0504
Athena,StepFunctions,6,0.075
CloudFormation,EC2,6,0.042
EC2,IAM,6,0.0441
EKS,SageMaker,6,0.0674
CloudTrail,EC2,6,0.0451
EC2,Firehose,6,0.0387
Aurora,CloudFront,6,0.0833
EKS,RedShift,6,0.0759
Lambda,WAF,6,0.028
EMR,SQS,6,0.069
IAM,S3,6,0.0254
ALB,ApiGateway,6,0.0513
ECR,ECS,6,0.1034
Athena,OpenSearch,6,0.087
Athena,QuickSight,6,0.1176
Firehose,Kinesis,6,0.0984
ALB,Route53,6,0.1333
Aurora,ECS,6,0.0779
Lambda,LambdaAtEdge,6,0.0287
CloudWatch,EKS,6,0.0682
CloudWatch,SNS,6,0.0769
Aurora,DynamoDB,6,0.0414
EventBridge,StepFunctions,6,0.1091
Comprehend,DynamoDB,6,0.0496
DynamoDB,Rekognition,6,0.0504
ECS,SageMaker,6,0.0759
GuardDuty,Lambda,6,0.029
Comprehend,Transcribe,6,0.375
Glue,SQS,6,0.0632
EKS,MSK,6,0.0968
DynamoDB,RedShift,6,0.0438
Connect,Lambda,6,0.0291
ECS,ElastiCache,6,0.0845
Cognito,EC2,6,0.042
ApiGateway,EKS,6,0.0426
ECR,EKS,6,0.0882
ApiGateway,WAF,5,0.0495
CloudFront,CloudWatch,5,0.0676
CloudWatch,ECS,5,0.0633
EMR,MSK,5,0.1515
Athena,Aurora,5,0.0676
DynamoDB,Route53,5,0.0391
ELB,Route53,5,0.1087
CloudTrail,S3,5,0.0214
CloudWatch,OpenSearch,5,0.0758
EFS,S3,5,0.0216
ECR,SageMaker,5,0.0962
QuickSight,RedShift,5,0.1282
RedShift,StepFunctions,5,0.0735
Kinesis,RDS,5,0.0495
ALB,Aurora,5,0.0781
OpenSearch,RDS,5,0.0515
Kinesis,SageMaker,5,0.0704
QuickSight,SageMaker,5,0.102
Athena,CloudFront,5,0.0641
CloudFront,Glue,5,0.0714
DynamoDB,LambdaAtEdge,5,0.042
DynamoDB,Lex,5,0.0435
Lambda,Lex,5,0.0243
Lambda,Transcribe,5,0.0239
Comprehend,OpenSearch,5,0.122
Lambda,Neptune,5,0.0242
OpenSearch,SageMaker,5,0.0746
DMS,Lambda,5,0.0238
KinesisAnalytics,Lambda,5,0.0244
EKS,SNS,5,0.0515
Aurora,Kinesis,5,0.0725
DynamoDB,ElastiCache,5,0.0357
OpenSearch,SNS,5,0.0676
EC2,StepFunctions,5,0.0294
MediaConvert,S3,5,0.0216
CodePipeline,Lambda,5,0.0242
EventBridge,SQS,5,0.0633
EMR,Kinesis,5,0.0862
EMR,SageMaker,5,0.0833
EBS,EC2,5,0.0376
EBS,Lambda,5,0.0242
EC2,NLB,5,0.0376
Lambda,Pinpoint,5,0.0244
Athena,EKS,5,0.0538
ElastiCache,Fargate,5,0.102
DynamoDB,Fargate,5,0.0379
KinesisDataStream,Lambda,5,0.0243
S3,VPC,5,0.0212
ECS,Kinesis,5,0.0641
Connect,DynamoDB,5,0.0431
EKS,TransitGateway,5,0.0893
CloudFront,ECS,4,0.0482
ECS,Fargate,4,0.0615
RDS,WAF,4,0.05
EC2,MSK,4,0.0288
Lambda,MSK,4,0.0188
Aurora,SageMaker,4,0.0556
Aurora,StepFunctions,4,0.0519
CloudFormation,EKS,4,0.0571
Aurora,OpenSearch,4,0.0606
EC2,EFS,4,0.0301
EFS,Lambda,4,0.0193
ElastiCache,Route53,4,0.087
ElastiCache,WAF,4,0.0952
S3,VPN,4,0.0172
ECR,RDS,4,0.0482
IAM,Lambda,4,0.0189
IAM,RDS,4,0.0526
ALB,ECR,4,0.087
Firehose,QuickSight,4,0.0976
Firehose,RedShift,4,0.0727
OpenSearch,StepFunctions,4,0.0548
QuickSight,StepFunctions,4,0.0727
Firehose,RDS,4,0.0421
Kinesis,RedShift,4,0.0645
Glue,QuickSight,4,0.0889
Kinesis,QuickSight,4,0.0833
CloudFront,Cognito,4,0.0727
Athena,DMS,4,0.0833
DMS,RedShift,4,0.1143
ApiGateway,RedShift,4,0.0345
Comprehend,SageMaker,4,0.0833
AppSync,Cognito,4,0.1739
DMS,Glue,4,0.1
CloudFormation,ServiceCatalog,4,0.2
S3,ServiceCatalog,4,0.0172
ALB,CloudFront,4,0.058
