service,num_architectures,is_aws,capability,percentage,out_degree_total,in_degree_total,total_degree,base_prob_weight,source_sink_ratio
S3,231,true,storage,67.94,1551,1799,3350,0.087833,0.4628
Lambda,205,true,compute,60.29,2075,1990,4065,0.077947,0.5103
ThirdParty,140,false,ThirdParty,41.18,862,883,1745,0.053232,0.4937
EC2,131,true,compute,38.53,1266,1217,2483,0.04981,0.5097
DynamoDB,114,true,storage,33.53,496,655,1151,0.043346,0.4306
ApiGateway,91,true,networking,26.76,537,513,1050,0.034601,0.5109
UserConsumerWeb,79,false,User,23.24,388,282,670,0.030038,0.5782
RDS,69,true,storage,20.29,263,349,612,0.026236,0.429
SQS,67,true,integration,19.71,380,392,772,0.025475,0.4916
UserConsumerMobile,65,false,User,19.12,307,214,521,0.024715,0.5881
EKS,56,true,compute,16.47,495,520,1015,0.021293,0.4872
ECS,46,true,compute,13.53,363,381,744,0.01749,0.4872
SNS,46,true,integration,13.53,215,210,425,0.01749,0.5047
StepFunctions,44,true,compute,12.94,294,268,562,0.01673,0.5222
Athena,42,true,compute,12.35,207,227,434,0.01597,0.4759
UserCompanyDataStream,42,false,User,12.35,189,53,242,0.01597,0.7778
CloudFront,41,true,networking,12.06,291,288,579,0.015589,0.5017
SageMaker,39,true,compute,11.47,251,301,552,0.014829,0.4539
CloudWatch,38,true,control,11.18,202,151,353,0.014449,0.5706
Kinesis,37,true,integration,10.88,248,243,491,0.014068,0.5041
Aurora,37,true,storage,10.88,145,229,374,0.014068,0.3867
Glue,34,true,integration,10.0,229,224,453,0.012928,0.5044
UserCompanyDeveloper,34,false,User,10.0,182,86,268,0.012928,0.6766
OpenSearch,33,true,compute,9.71,74,213,287,0.012548,0.2569
ELB,32,true,networking,9.41,226,205,431,0.012167,0.5231
ALB,32,true,networking,9.41,204,179,383,0.012167,0.5312
UserConsumerAPI,31,false,User,9.12,141,92,233,0.011787,0.6026
ElastiCache,31,true,storage,9.12,107,147,254,0.011787,0.4196
Firehose,30,true,integration,8.82,148,173,321,0.011407,0.4596
RedShift,29,true,storage,8.53,148,212,360,0.011027,0.41
UserCompanyAnalyst,28,false,User,8.24,116,112,228,0.010646,0.5066
EMR,26,true,compute,7.65,208,192,400,0.009886,0.5187
Fargate,23,true,compute,6.76,184,180,364,0.008745,0.5041
UserConsumerEdge,21,false,User,6.18,94,40,134,0.007985,0.6963
Route53,19,true,networking,5.59,103,87,190,0.007224,0.5393
ECR,18,true,other,5.29,66,77,143,0.006844,0.4583
CloudFormation,18,true,control,5.29,130,70,200,0.006844,0.6468
UserCompanyAgent,18,false,User,5.29,79,53,132,0.006844,0.594
Cognito,18,true,control,5.29,54,75,129,0.006844,0.4154
EventBridge,17,true,integration,5.0,82,73,155,0.006464,0.5256
WAF,15,true,networking,4.41,58,71,129,0.005703,0.4462
QuickSight,15,true,other,4.41,42,67,109,0.005703,0.3818
IoTCore,13,true,networking,3.82,81,57,138,0.004943,0.5827
UserCompanyAPI,13,false,User,3.82,39,32,71,0.004943,0.5417
Comprehend,13,true,compute,3.82,53,54,107,0.004943,0.4907
MSK,12,true,integration,3.53,68,66,134,0.004563,0.5037
Rekognition,11,true,compute,3.24,39,44,83,0.004183,0.4643
KMS,11,true,control,3.24,41,25,66,0.004183,0.6119
IAM,11,true,control,3.24,39,41,80,0.004183,0.4815
LambdaAtEdge,10,true,compute,2.94,55,56,111,0.003802,0.4911
VPC,10,true,networking,2.94,40,51,91,0.003802,0.4348
UserConsumerWebMobile,10,false,User,2.94,57,35,92,0.003802,0.6129
DMS,10,true,other,2.94,67,57,124,0.003802,0.536
Transcribe,9,true,compute,2.65,61,56,117,0.003422,0.5169
AppSync,9,true,integration,2.65,73,78,151,0.003422,0.4803
DirectConnect,9,true,networking,2.65,33,32,65,0.003422,0.5
GuardDuty,8,true,control,2.35,36,15,51,0.003042,0.6923
CloudTrail,8,true,control,2.35,45,25,70,0.003042,0.6338
CodePipeline,7,true,other,2.06,41,20,61,0.002662,0.6613
NLB,7,true,networking,2.06,42,41,83,0.002662,0.5
Connect,7,true,other,2.06,85,90,175,0.002662,0.483
EBS,7,true,storage,2.06,25,43,68,0.002662,0.3623
Neptune,7,true,storage,2.06,44,40,84,0.002662,0.5176
VPN,6,true,networking,1.76,26,31,57,0.002281,0.4483
Lex,6,true,other,1.76,38,37,75,0.002281,0.5
FSX,6,true,storage,1.76,29,34,63,0.002281,0.4531
EFS,6,true,storage,1.76,23,38,61,0.002281,0.371
ServiceCatalog,6,true,control,1.76,42,42,84,0.002281,0.4941
PrivateLink,6,true,networking,1.76,31,36,67,0.002281,0.4559
KinesisDataStream,6,true,integration,1.76,37,47,84,0.002281,0.4353
Pinpoint,5,true,other,1.47,16,16,32,0.001901,0.4848
MediaConvert,5,true,compute,1.47,26,26,52,0.001901,0.4906
OnPremDC,5,false,OnPremDC,1.47,26,5,31,0.001901,0.8125
UserCompanyEdge,5,false,User,1.47,12,5,17,0.001901,0.6667
UserConsumerIOT,5,false,User,1.47,21,6,27,0.001901,0.75
SystemsManager,5,true,control,1.47,25,20,45,0.001901,0.5435
ControlTower,5,true,control,1.47,30,25,55,0.001901,0.5357
TransitGateway,5,true,networking,1.47,20,25,45,0.001901,0.4348
UserConsumerTV,5,false,User,1.47,17,17,34,0.001901,0.4857
KinesisAnalytics,5,true,compute,1.47,27,22,49,0.001901,0.54
Textract,4,true,compute,1.18,13,13,26,0.001521,0.4815
CodeCommit,4,true,other,1.18,22,25,47,0.001521,0.4583
CodeBuild,4,true,other,1.18,22,22,44,0.001521,0.4889
SecurityHub,4,true,control,1.18,26,59,85,0.001521,0.3023
AutoScaling,4,true,control,1.18,5,5,10,0.001521,0.4545
Batch,4,true,compute,1.18,9,4,13,0.001521,0.6429
Amplify,4,true,other,1.18,13,12,25,0.001521,0.5
BeanStalk,4,true,compute,1.18,31,21,52,0.001521,0.5849
UserCompanyCRM,3,false,User,0.88,15,20,35,0.001141,0.4167
UserConsumerDeveloper,3,false,User,0.88,16,5,21,0.001141,0.7273
LakeFormation,3,true,control,0.88,25,30,55,0.001141,0.4464
ShieldAdvanced,3,true,networking,0.88,5,11,16,0.001141,0.2941
VPCPeering,3,true,networking,0.88,16,17,33,0.001141,0.4706
UserConsumerPOS,3,false,User,0.88,8,7,15,0.001141,0.5
AmazonMQ,3,true,integration,0.88,7,13,20,0.001141,0.3333
StorageGateway,3,true,integration,0.88,16,16,32,0.001141,0.4848
AWSConfig,3,true,control,0.88,10,0,10,0.001141,0.9091
SES,3,true,other,0.88,2,8,10,0.001141,0.1818
MediaPackage,3,true,compute,0.88,17,12,29,0.001141,0.5667
Translate,3,true,compute,0.88,20,16,36,0.001141,0.5405
Inspector,3,true,control,0.88,6,0,6,0.001141,0.8571
MongoDBAtlas,2,false,Partner,0.59,0,0,0,0.00076,0.0
UserConsumerAlexaGoogleHome,2,false,User,0.59,3,1,4,0.00076,0.6
Chime,2,true,other,0.59,17,12,29,0.00076,0.5667
DocumentDB,2,true,storage,0.59,7,12,19,0.00076,0.35
Organizations,2,true,other,0.59,5,15,20,0.00076,0.2381
SecretsManager,2,true,control,0.59,5,5,10,0.00076,0.4545
WorkSpaces,2,true,other,0.59,0,0,0,0.00076,0.0
UserConsumerSatellite,2,false,User,0.59,6,0,6,0.00076,0.8571
AlexaForBusiness,2,true,other,0.59,3,3,6,0.00076,0.4286
MediaLive,2,true,compute,0.59,10,10,20,0.00076,0.4762
Timestream,2,true,storage,0.59,6,10,16,0.00076,0.3529
DataPipeline,2,true,integration,0.59,10,10,20,0.00076,0.4762
Greengrass,2,true,other,0.59,8,7,15,0.00076,0.5
Macie,2,true,control,0.59,5,5,10,0.00076,0.4545
Polly,2,true,compute,0.59,10,10,20,0.00076,0.4762
UserCompanyDrone,2,false,User,0.59,10,0,10,0.00076,0.9091
XRay,2,true,other,0.59,0,0,0,0.00076,0.0
IoTAnalytics,2,true,compute,0.59,11,6,17,0.00076,0.6111
UserConsumerHospital,2,false,User,0.59,6,0,6,0.00076,0.8571
UserConsumerCamera,2,false,User,0.59,10,5,15,0.00076,0.625
UserCompanyInternalPlatform,2,false,User,0.59,15,20,35,0.00076,0.4167
TransferFamily,2,true,integration,0.59,10,10,20,0.00076,0.4762
CloudHSM,2,true,control,0.59,10,10,20,0.00076,0.4762
MediaConnect,2,true,networking,0.59,25,25,50,0.00076,0.4902
AccessAnalyzer,1,true,control,0.29,5,0,5,0.00038,0.8333
AppDiscovery,1,true,other,0.29,5,10,15,0.00038,0.3125
UserCompanyElementalLiveDevice,1,false,User,0.29,2,0,2,0.00038,0.6667
Grafana,1,true,other,0.29,5,5,10,0.00038,0.4545
GlobalAccelerator,1,true,networking,0.29,5,5,10,0.00038,0.4545
Shield,1,true,networking,0.29,1,0,1,0.00038,0.5
UserCompanyHeadEnd,1,false,User,0.29,0,0,0,0.00038,0.0
DirectoryService,1,true,control,0.29,5,5,10,0.00038,0.4545
AmazonML,1,true,compute,0.29,1,1,2,0.00038,0.3333
DevTools,1,true,other,0.29,20,25,45,0.00038,0.4348
Outpost,1,true,control,0.29,0,0,0,0.00038,0.0
ModelRegistry,1,true,other,0.29,3,4,7,0.00038,0.375
ElementalLive,1,true,other,0.29,2,2,4,0.00038,0.4
SageMakerGroundTruth,1,true,other,0.29,0,0,0,0.00038,0.0
DeepLens,1,true,other,0.29,1,0,1,0.00038,0.5
ServiceNow,1,false,Partner,0.29,5,10,15,0.00038,0.3125
STS,1,true,control,0.29,15,10,25,0.00038,0.5769
MAM,1,true,other,0.29,1,0,1,0.00038,0.5
LookoutForVision,1,true,compute,0.29,5,5,10,0.00038,0.4545
MemoryDB,1,true,storage,0.29,1,2,3,0.00038,0.25
MediaStore,1,true,storage,0.29,10,5,15,0.00038,0.625
DynamoDBStream,1,true,integration,0.29,5,5,10,0.00038,0.4545
AppStream,1,true,other,0.29,20,25,45,0.00038,0.4348
ACM,1,true,control,0.29,5,5,10,0.00038,0.4545
RAM,1,true,control,0.29,0,0,0,0.00038,0.0
Kendra,1,true,other,0.29,5,15,20,0.00038,0.2381
AMI,1,true,control,0.29,1,1,2,0.00038,0.3333
UserConsumerFarmer,1,false,User,0.29,5,5,10,0.00038,0.4545
S2SVPN,1,true,networking,0.29,0,0,0,0.00038,0.0
KinesisVideo,1,true,integration,0.29,5,10,15,0.00038,0.3125
UserCompanyWebsite,1,false,User,0.29,10,10,20,0.00038,0.4762
NAT,1,true,networking,0.29,5,5,10,0.00038,0.4545
ServerlessApplicationRepository,1,true,other,0.29,0,0,0,0.00038,0.0
SAP,1,false,Partner,0.29,10,10,20,0.00038,0.4762
RoboMaker,1,true,compute,0.29,15,5,20,0.00038,0.7143
