source_service,target_service,interaction_count,out_degree_total,prob_transition
Lambda,DynamoDB,346,2075,0.1667
DynamoDB,Lambda,242,496,0.4879
ApiGateway,Lambda,240,537,0.4469
Lambda,S3,219,2075,0.1055
EC2,S3,195,1266,0.154
S3,Lambda,192,1551,0.1238
SQS,Lambda,159,380,0.4184
S3,EC2,136,1551,0.0877
S3,Athena,126,1551,0.0812
EMR,S3,113,208,0.5433
Lambda,ThirdParty,110,2075,0.053
S3,Glue,105,1551,0.0677
Lambda,ApiGateway,105,2075,0.0506
Glue,S3,100,229,0.4367
ThirdParty,S3,98,862,0.1137
Kinesis,Lambda,98,248,0.3952
ELB,EC2,97,226,0.4292
Firehose,S3,95,148,0.6419
Athena,S3,92,207,0.4444
Lambda,SQS,92,2075,0.0443
StepFunctions,Lambda,91,294,0.3095
Lambda,OpenSearch,90,2075,0.0434
Lambda,RDS,89,2075,0.0429
S3,EMR,89,1551,0.0574
CloudFront,S3,88,291,0.3024
S3,SageMaker,85,1551,0.0548
EC2,ThirdParty,84,1266,0.0664
CloudWatch,Lambda,82,202,0.4059
ThirdParty,Lambda,82,862,0.0951
EC2,RDS,81,1266,0.064
EC2,SQS,80,1266,0.0632
UserConsumerWeb,ApiGateway,79,388,0.2036
ThirdParty,EC2,74,862,0.0858
Lambda,StepFunctions,74,2075,0.0357
SNS,SQS,72,215,0.3349
SNS,Lambda,71,215,0.3302
S3,CloudFront,70,1551,0.0451
Lambda,SNS,70,2075,0.0337
RDS,EC2,67,263,0.2548
SQS,EC2,67,380,0.1763
SageMaker,Lambda,67,251,0.2669
S3,ThirdParty,65,1551,0.0419
Lambda,SageMaker,64,2075,0.0308
Lambda,Kinesis,62,2075,0.0299
SageMaker,S3,62,251,0.247
Lambda,EC2,60,2075,0.0289
DynamoDB,EC2,56,496,0.1129
EC2,Aurora,56,1266,0.0442
EC2,DynamoDB,56,1266,0.0442
ALB,ECS,55,204,0.2696
EKS,EC2,55,495,0.1111
S3,SQS,54,1551,0.0348
ECS,ThirdParty,53,363,0.146
EKS,ThirdParty,51,495,0.103
S3,StepFunctions,51,1551,0.0329
UserConsumerWeb,CloudFront,50,388,0.1289
EKS,RDS,50,495,0.101
RDS,Lambda,50,263,0.1901
UserConsumerMobile,ApiGateway,50,307,0.1629
ApiGateway,UserConsumerWeb,47,537,0.0875
Kinesis,S3,43,248,0.1734
ALB,EKS,43,204,0.2108
ALB,EC2,43,204,0.2108
UserConsumerMobile,ALB,42,307,0.1368
EC2,ELB,41,1266,0.0324
ThirdParty,ApiGateway,40,862,0.0464
EC2,Lambda,39,1266,0.0308
ThirdParty,EKS,39,862,0.0452
RDS,EKS,39,263,0.1483
ThirdParty,ECS,38,862,0.0441
ELB,EKS,37,226,0.1637
S3,RedShift,37,1551,0.0239
S3,SNS,37,1551,0.0239
RedShift,S3,36,148,0.2432
Fargate,S3,36,184,0.1957
DMS,S3,36,67,0.5373
UserCompanyDataStream,Lambda,35,189,0.1852
SQS,S3,35,380,0.0921
S3,EKS,35,1551,0.0226
ApiGateway,ECS,34,537,0.0633
EC2,EKS,34,1266,0.0269
ECS,DynamoDB,34,363,0.0937
CloudFront,LambdaAtEdge,34,291,0.1168
S3,ECS,33,1551,0.0213
UserCompanyDeveloper,ThirdParty,33,182,0.1813
Lambda,ECS,32,2075,0.0154
EKS,Aurora,32,495,0.0646
AppSync,Lambda,31,73,0.4247
S3,Firehose,31,1551,0.02
Lambda,CloudWatch,31,2075,0.0149
ThirdParty,EMR,31,862,0.036
Lambda,Firehose,30,2075,0.0145
EKS,ElastiCache,30,495,0.0606
ElastiCache,EKS,30,107,0.2804
UserCompanyAgent,ThirdParty,30,79,0.3797
CloudFormation,Lambda,30,130,0.2308
SQS,ECS,30,380,0.0789
EventBridge,StepFunctions,30,82,0.3659
UserCompanyDeveloper,EC2,29,182,0.1593
UserConsumerAPI,ApiGateway,29,141,0.2057
EKS,S3,29,495,0.0586
CloudFront,UserConsumerWeb,29,291,0.0997
UserConsumerWeb,EC2,29,388,0.0747
ECS,S3,28,363,0.0771
UserConsumerWeb,S3,28,388,0.0722
Lambda,Aurora,28,2075,0.0135
UserConsumerMobile,CloudFront,28,307,0.0912
EC2,ElastiCache,28,1266,0.0221
IoTCore,Lambda,28,81,0.3457
Lambda,UserConsumerMobile,27,2075,0.013
DynamoDB,ECS,27,496,0.0544
Route53,ALB,27,103,0.2621
S3,UserCompanyAnalyst,27,1551,0.0174
StepFunctions,S3,27,294,0.0918
ApiGateway,UserConsumerMobile,26,537,0.0484
EventBridge,Lambda,26,82,0.3171
EKS,DynamoDB,26,495,0.0525
Aurora,Lambda,26,145,0.1793
UserConsumerAPI,S3,25,141,0.1773
Transcribe,Comprehend,25,61,0.4098
RedShift,QuickSight,25,148,0.1689
SNS,ThirdParty,25,215,0.1163
LambdaAtEdge,CloudFront,24,55,0.4364
UserCompanyDataStream,S3,23,189,0.1217
ECS,Aurora,23,363,0.0634
SQS,EKS,23,380,0.0605
WAF,CloudFront,23,58,0.3966
ECS,Lambda,23,363,0.0634
Aurora,EKS,23,145,0.1586
UserConsumerWeb,Route53,22,388,0.0567
ThirdParty,UserCompanyDeveloper,22,862,0.0255
ECS,ElastiCache,22,363,0.0606
EKS,ELB,21,495,0.0424
Fargate,ElastiCache,21,184,0.1141
EC2,EFS,21,1266,0.0166
SQS,Fargate,21,380,0.0553
StepFunctions,DynamoDB,21,294,0.0714
ECR,EKS,21,66,0.3182
CloudFront,UserConsumerMobile,21,291,0.0722
Lambda,UserConsumerWeb,21,2075,0.0101
Athena,ThirdParty,21,207,0.1014
ElastiCache,Fargate,21,107,0.1963
UserCompanyDeveloper,ApiGateway,21,182,0.1154
ALB,UserConsumerMobile,20,204,0.098
Lambda,RedShift,20,2075,0.0096
UserConsumerMobile,Route53,20,307,0.0651
CloudFront,WAF,20,291,0.0687
S3,UserConsumerAPI,20,1551,0.0129
Glue,Athena,20,229,0.0873
UserConsumerMobile,Connect,20,307,0.0651
Lambda,AppSync,20,2075,0.0096
ThirdParty,OpenSearch,20,862,0.0232
Glue,SageMaker,20,229,0.0873
Connect,Lambda,20,85,0.2353
Lambda,ELB,20,2075,0.0096
EC2,EBS,20,1266,0.0158
S3,Fargate,20,1551,0.0129
ECS,RDS,20,363,0.0551
Lambda,Connect,20,2075,0.0096
